key;de;en;fr;es;it;nl;ru
cb_middleBarHead;☝ 🍪;☝ 🍪;☝ 🍪;☝ 🍪;☝ 🍪;☝ 🍪;☝ 🍪
cb_reload;Seite neu laden;Refresh the page;Recharger la page;Actualizar esta página;Aggiorna la pagina;Ververs de pagina;Перезагрузите страницу
cb_alertBigScroll;Durch weiterblättern,;By continuing to scroll,;En continuant de défiler,;Al continuar desplazándote,;Continuando a scorrere,;Door te blijven scrollen,;Продолжая прокрутки
cb_alertBigClick;Wenn Sie diese Webseite benutzen,;If you continue to browse this website,;En poursuivant votre navigation,;Si continuas navegando por este sitio web,;Continuando a navigare nel sito,;Als je doorgaat met het surfen op deze website,;Если вы продолжаете использовать сайт
cb_alertBig;stimmen Sie der Benutzung von externen Diensten zu;you are allowing all third-party services;vous acceptez l'utilisation de services tiers pouvant installer des cookies;estás permitiendo servicios terceros;autorizzi l’utilizzo dei cookies inviati da domini di terze parti;sta je alle diensten van derden toe;вы позволяете сервисы третьих лиц
cb_alertBigPrivacy;Diese Webseite verwendet 'Cookies' um Inhalte und Anzeigen zu personalisieren und zu analysieren. Bestimmen Sie, welche Dienste benutzt werden dürfen;This site uses cookies and gives you control over what you want to activate;Ce site utilise des cookies et vous donne le contrôle sur ce que vous souhaitez activer;Este sitio web usa cookies y te permite controlar las que deseas activar;Questo sito fa uso di cookies e ti consente di decidere se accettarli o rifiutarli;Deze site maakt gebruik van cookies en geeft u controle over wat u wilt activeren;Этот сайт использует кукис и позволяет вам контролировать сервисы которые вы хотите активировать
cb_alertSmall;Datenschutz-Einstellungen;Manage services;Gestion des services;Gestionar servicios;Gestione dei servizi;Beheer instellingen;Настройка сервисов
cb_personalize;Personalisieren;Personalize;Personnaliser;Personalizar;Personalizza;Personaliseer;Персонализировать
cb_acceptAll;Alle akzeptieren;OK, accept all;OK, tout accepter;OK, aceptar todas;Ok, accetta tutto;OK, accepteer alle;Ок, все активировать
cb_close;Schließen;Close;Fermer;Cerrar;Chiudi;Sluit;Закрыть
cb_privacyUrl;Datenschutzbestimmungen;Privacy policy;Politique de confidentialité;Política de privacidad;Politica sulla riservatezza;Privacybeleid;Политика конфиденциальности
cb_all;Einstellungen für alle Dienste;Preference for all services;Préférences pour tous les services;Ajustes para todos los servicios;Preferenze per tutti i servizi;Voorkeur voor alle diensten;Преференция всем сервисам
cb_info;Schutz der Privatsphäre;Protecting your privacy;Protection de votre vie privée;Protegiendo tu privacidad;Tutela della privacy;Bescherming van uw privacy;Защитить вашу конфиденциальность
cb_disclaimer;Wenn Sie diese Dienste nutzen, erlauben Sie deren 'Cookies' und Tracking-Funktionen, die zu ihrer ordnungsgemäßen Funktion notwendig sind.;By allowing these third party services, you accept their cookies and the use of tracking technologies necessary for their proper functioning.;En autorisant ces services tiers, vous acceptez le dépôt et la lecture de cookies et l'utilisation de technologies de suivi nécessaires à leur bon fonctionnement.;Aceptando estos servicios de terceros, estás aceptando sus cookies y el uso de tecnologías de rastreo necesarias para su correcto funcionamiento.;Abilitando l'uso dei servizi di terze parti, accetti la ricezione dei cookies e l'uso delle tecnologie analitici necessarie al loro funzionamento.;Door deze services van derden toe te staan, accepteert u hun cookies en het gebruik van trackingtechnologieën die nodig zijn voor hun goede werking.;Активирование сервисов третьих лиц позволяет использование их кукис и технолоний отслеживания необходимых для их функционирования
cb_allow;Erlauben;Allow;Autoriser;Permitir;Consenti;Toestaan;Позролить
cb_deny;Ablehnen;Deny;Interdire;Denegar;Blocca;Weigeren;Не позволить
cb_noCookie;Dieser Dienst nutzt keine 'Cookies'.;This service does not use cookie.;Ce service ne dépose aucun cookie.;Este servicio no usa cookies.;Questo servizio non invia nessun cookie;Deze service gebruikt geen cookie;Этот сервис не использует кукис.
cb_useCookie;Dieser Dienst verwendet 'Cookies';This service uses 'cookies';Ce service utilise des 'cookies';Este servicio utiliza 'cookies';Questo servizio utilizza 'cookies';Deze dienst maakt gebruik van 'cookies';Этот сервис использует куки
cb_canUseCookie;Dieser Dienst kann 'Cookies' verwenden;This service can use 'cookies';Ce service peut utiliser des 'cookies';Este servicio puede usar 'cookies';Questo servizio può utilizzare i 'cookie';Deze dienst kan 'cookies' gebruiken;Этот сервис может использовать куки
cb_useNoCookie;Dieser Dienst hat keine 'Cookies' installiert.;This service has not installed any cookie.;Ce service n'a déposé aucun cookie.;Este servicio no ha instalado ninguna cookie.;Questo servizio non ha inviato nessun cookie;Deze service heeft geen cookies geïnstalleerd.;Этот сервис не использует кукис.
cb_more;weiterlesen;Read more;En savoir plus;Leer más;Saperne di più;Lees meer;Подробнее
cb_source;Zur offiziellen Webseite;View the official website;Voir le site officiel;Ver sitio web oficial;Vai al sito ufficiale;Bekijk de officiële website;Посетите официальный сайт
cb_toggleInfoBox;Zeige/Verberge Cookie-Einstellungen;Show/hide informations about cookie storage;Afficher/masquer les informations sur le stockage des cookies;Mostrar/ocultar información sobre almacenamiento de cookies;Show/hide informations about cookie storage;Toon/verberg informatie over cookie opslag;Show/hide informations about cookie storage
cb_title;Cookie-Einstellungen;Cookies management panel;Panneau de gestion des cookies;Panel de gestión de cookies;Cookies management panel;Cookies beheer paneel;Cookies management panel
cb_cookieDetail;Cookie Details für;Cookie detail for;Détail des cookies;Detalles de las cookies para;Cookie detail for;Cookie detail voor;Cookie detail for
cb_ourSite;auf unserer Seite;on our site;sur notre site;en nuestra web;on our site;op onze site;on our site
cb_newWindow;(neues Fenster);(new window);(nouvelle fenêtre);(ventana nueva);(new window);(nieuw venster);(new window)
cb_allowAll;Erlaube alle Cookies;Allow all cookies;Autoriser tous les cookies;Permitir todas las cookies;Allow all cookies;Sta alle cookies toe;Allow all cookies
cb_denyAll;Verbiete alle Cookies;Deny all cookies;Interdire tous les cookies;Denegar todas las cookies;Deny all cookies;Weiger alle cookies;Deny all cookies
cb_fallback;ist deaktiviert.;is disabled.;est désactivé.;está deshabilitado.;è disattivato;is uitgeschakeld.;Деактивирован.
cb_essentialCookies;Essenzielle Cookies;Essential cookies;Biscuits essentiels;Cookies esenciales;Biscotti essenziali;Essentiële cookies;Основные куки
cb_essentialCookiesInfoText;Notwendige Cookies ermöglichen grundlegende Funktionen und sind für die einwandfreie Funktion der Website erforderlich.;Necessary cookies enable basic functions and are necessary for the website to function properly.;Les cookies nécessaires permettent des fonctions de base et sont nécessaires au bon fonctionnement du site Web.;Las cookies necesarias habilitan funciones básicas y son necesarias para que el sitio web funcione correctamente.;I cookie necessari abilitano le funzioni di base e sono necessari per il corretto funzionamento del sito Web.;Noodzakelijke cookies maken basisfuncties mogelijk en zijn noodzakelijk voor een goede werking van de website.;Необходимые файлы cookie включают основные функции и необходимы для правильной работы сайта.
